Folder,Station,Latitude,Longitude,RecordLen_Hours,StartDate,EndDate,PC_missing_original,PC_missing_qcd,PC_removed,rain_original,rain_qcd,PC_rain_removed,QC_NYears_Q95_EQ_0,QC_NYears_Q99_EQ_0,QC_NYears_K1_EQ_0,QC_NYears_K5_EQ_0,QC_NYears_K10_EQ_0,QC_UnevenDist_DaysOfWeek,QC_UnevenDist_HoursOfDay,QC_NYears_IntermittencyIssues,QC_BreakPoint_PFlag,QC_BreakPoint_Magnitude,QC_NYears_R99pTOT_GT_50PC,QC_NYears_PRCPTOT_GT_50PC,QC_NYears_MinValChanges,QC_PC_HourlyNeighbours_HighFlag,QC_PC_HourlyNeighboursDry_HighFlag,QC_PC_DailyNeighbours_HighFlag,QC_PC_DailyNeighboursDry_HighFlag,QC_PC_HourlyNeighbours_LowerFlag,QC_PC_HourlyNeighboursDry_LowerFlag,QC_PC_DailyNeighbours_LowerFlag,QC_PC_DailyNeighboursDry_LowerFlag,QC_PC_MonthlyNeighbours_GT25PC_LE100PC_MOD,QC_PC_MonthlyNeighbours_LowTotal,QC_PC_MonthlyNeighbours_HighTotal,QC_PC_MonthlyNeighbours_HighTotal_ClimatologyOnly,QC_Num_WorldRecord_LE50PC,QC_Num_WorldRecord_GT50PC,QC_PC_Rx1day_LE50PC,QC_PC_Rx1day_GT50PC,QC_PC_CDD,QC_PC_DailyAccumulations,QC_PC_MonthlyAccumulations,QC_PC_Streaks,QC_PC_FactorMonthly,PC_Daily&MonthlyAccumulations,PC_DailyAccumulations_&_Rx1day,PC_Rx1day_&_HourlyNeighbours,PC_Rx1day_&_WorldRecordAll,PC_Rx1day_&_WorldRecordAll_&_HourlyNeighbours,PC_WorldRecordAll_&_HourlyNeighbours,PC_HourlyNeighbours_&_HourlyNeighboursDry,TotalRain,PC_rain_HourlyNeighbours,PC_rain_HourlyNeighboursDry,PC_rain_DailyNeighbours,PC_rain_DailyNeighboursDry,PC_rain_MonthlyNeighbours_GT25PC_LE100PC_MOD,PC_rain_MonthlyNeighbours_LowTotal,PC_rain_MonthlyNeighbours_HighTotal,PC_rain_MonthlyNeighbours_HighTotal_ClimatologyOnly,Rain_WorldRecord_LE50PC,Rain_WorldRecord_GT50PC,PC_rain_Rx1day_LE50PC,PC_rain_Rx1day_GT50PC,PC_rain_CDD,PC_rain_DailyAccumulations,PC_rain_MonthlyAccumulations,PC_rain_Streaks,PC_rain_FactorMonthly,PC_rain_Daily&MonthlyAccumulations,PC_rain_DailyAccumulations_&_Rx1day,PC_rain_Rx1day_&_HourlyNeighbours,PC_rain_Rx1day_&_WorldRecordAll,PC_rain_Rx1day_&_WorldRecordAll_&_HourlyNeighbours,PC_rain_WorldRecordAll_&_HourlyNeighbours,PC_rain_HourlyNeighbours_&_HourlyNeighboursDry
NED,ams108,52.40145,4.94701,18264,01/05/2016 01:00,01/06/2018 00:00,0.58585,0.58585,0,1689.932,1689.932,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13141,0,0,0,0,0,0,0,0,0,0,1689.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37652,0,0,0,0,0,0,0,0,0,0
NED,ams109,52.31824,4.95428,18264,01/05/2016 01:00,01/06/2018 00:00,80.49715,80.49715,0,376.73,376.73,0,0,0,0,0,0,0,0,1,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams11,52.24811,4.70326,18264,01/05/2016 01:00,01/06/2018 00:00,0.29019,100,99.70981,0,0,nan,3,3,3,3,3,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.70981,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NED,ams110,52.33408,4.95708,18264,01/05/2016 01:00,01/06/2018 00:00,91.06439,91.06439,0,124.836,124.836,0,0,0,0,0,0,0,0,1,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams111,52.33424,4.9592,18264,01/05/2016 01:00,01/06/2018 00:00,44.93539,44.93539,0,1231.695,1231.695,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0.26281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams112,52.34162,4.95946,18264,01/05/2016 01:00,01/06/2018 00:00,10.10731,10.10731,0,717.645,717.80647,0.0225,1,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39422,0,0,0,0,0,0,0,0,0,0,717.80647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98536,0,0,0,0,0,0,0,0,0,0
NED,ams113,52.33706,4.9621,18264,01/05/2016 01:00,01/06/2018 00:00,78.99693,78.99693,0,353.702,353.702,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams114,52.33636,4.9623,18264,01/05/2016 01:00,01/06/2018 00:00,41.97876,41.97876,0,1294.012,1294.012,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams115,52.33729,4.96429,18264,01/05/2016 01:00,01/06/2018 00:00,2.00942,2.00942,0,1413.596,1413.596,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams116,52.27151,4.96443,18264,01/05/2016 01:00,01/06/2018 00:00,37.18244,37.24814,0.0657,1469.146,1391.881,5.25918,0,0,0,0,0,0,0,1,-999,nan,0,0,0,0.26281,0,0,0,0.13141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.881,0.80546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
